Projektnummer           ;FCH-23250 - Geoterra Kft. - Ferihegy;;;
Sondierung              ;C10100/2;;;
Projektbezeichnung      ;;;;
Datum der Sondierung    ;04.dec.23;;;
;;;;
   Tiefe;    Conus;  Reibung; PW-Druck;       Rf
     (m);    (MPa);    (MPa);    (MPa);      (%)
6,5;36,3756;0,2386;-0,0024;0,6555
6,52;35,0368;0,2346;-0,0024;0,6562
6,54;35,6573;0,2124;-0,0026;0,5982
6,56;35,5918;0,2023;-0,0024;0,5721
6,58;35,7288;0,2224;-0,0017;0,627
6,6;35,4025;0,2341;-0,0027;0,6539
6,62;33,7132;0,2158;-0,0024;0,6398
6,64;32,4204;0,2209;-0,0014;0,6829
6,66;32,4681;0,2059;-0,0027;0,6296
6,68;34,8148;0,1942;-0,0018;0,5798
6,7;37,5839;0,2012;-0,0023;0,5533
6,72;41,7009;0,1898;-0,0016;0,4778
6,74;45,647;0,1987;-0,0016;0,441
6,76;48,3226;0,1689;-0,0008;0,3503
6,78;50,1432;0,2281;-0,0023;0,4563
6,8;51,1422;0,2731;-0,0031;0,5352
6,82;50,6262;0,3205;-0,0028;0,6328
6,84;49,669;0,3229;-0,0018;0,6487
6,86;48,5521;0,2763;-0,0011;0,5611
6,88;46,4422;0,2564;-0,0016;0,5414
6,9;45,4819;0,1904;-0,002;0,4187
6,92;45,1361;0,176;-0,0009;0,3896
6,94;46,034;0,2049;-0,0016;0,4487
6,96;47,3688;0,2526;-0,002;0,5361
6,98;50,6239;0,275;-0,0025;0,5491
7;51,9951;0,3032;-0,0026;0,5804
7,02;46,8338;0,3091;-0,002;0,641
7,04;44,2614;0,2973;-0,0022;0,6754
7,06;43,8985;0,215;-0,0024;0,4878
7,08;42,2111;0,2031;-0,0025;0,4762
7,1;40,2176;0,1815;-0,0025;0,4387
7,12;38,8882;0,1599;-0,0022;0,4013
7,14;35,9496;0,1384;-0,0024;0,3638
7,16;35,0987;0,1168;-0,0025;0,3263
7,18;32,5038;0,138;-0,0023;0,4082
7,2;31,4288;0,1739;-0,0025;0,5392
7,22;30,2459;0,1822;-0,0027;0,5652
7,24;29,063;0,164;-0,0029;0,5088
7,26;27,8802;0,1634;-0,0031;0,5069
7,28;26,5996;0,1549;-0,0031;0,5625
7,3;25,7634;0,1622;-0,0032;0,6245
7,32;24,1151;0,1758;-0,0032;0,7064
7,34;22,477;0,1931;-0,0032;0,8422
7,36;20,854;0,1765;-0,0033;0,8202
7,38;20,0726;0,1656;-0,0033;0,8174
7,4;19,6435;0,1494;-0,0033;0,7597
7,42;19,5655;0,126;-0,0034;0,6441
7,44;19,8617;0,1301;-0,0034;0,655
7,46;20,5976;0,1174;-0,0034;0,5702
7,48;23,473;0,161;-0,0033;0,7282
7,5;27,6885;0,1525;-0,0032;0,5541
7,52;32,4621;0,1201;-0,0033;0,3758
7,54;35,9638;0,1457;-0,0032;0,4071
7,56;39,9801;0,1567;-0,0031;0,3956
7,58;41,6267;0,2011;-0,0031;0,4841
7,6;41,7143;0,1971;-0,0033;0,472
7,62;42,0699;0,1769;-0,0033;0,4225
7,64;42,4248;0,2322;-0,003;0,5448
7,66;42,2283;0,2278;-0,0032;0,5394
7,68;42,4399;0,2469;-0,0032;0,5844
7,7;42,5072;0,2607;-0,0032;0,6161
7,72;43,4805;0,2419;-0,0031;0,5562
7,74;40,8071;0,2684;-0,003;0,6454
7,76;39,8841;0,2937;-0,0031;0,7319
7,78;38,8977;0,2976;-0,0032;0,7612
7,8;36,6345;0,2994;-0,0031;0,8064
7,82;34,2051;0,287;-0,0034;0,8302
7,84;30,79;0,2594;-0,0036;0,822
7,86;29,4051;0,2413;-0,0037;0,8193
7,88;29,317;0,2567;-0,0035;0,8649
7,9;28,8533;0,2378;-0,0037;0,827
7,92;29,394;0,1839;-0,0035;0,6357
7,94;30,3337;0,1673;-0,0033;0,5577
7,96;29,9043;0,169;-0,0033;0,556
7,98;29,2405;0,1736;-0,0032;0,5938
8;28,7863;0,1976;-0,0032;0,6861
8,02;29,2675;0,1299;-0,0033;0,4462
8,04;28,5728;0,1305;-0,0032;0,4523
8,06;28,4679;0,1351;-0,0033;0,4752
8,08;27,9403;0,1384;-0,0033;0,4927
8,1;27,4869;0,1339;-0,0033;0,4807
8,12;27,6054;0,1295;-0,0033;0,4673
8,14;26,9313;0,1252;-0,0033;0,454
8,16;26,6434;0,1208;-0,0031;0,4406
8,18;26,4629;0,1164;-0,0032;0,4273
8,2;26,5302;0,112;-0,003;0,4139
8,22;25,6411;0,1192;-0,0029;0,4423
8,24;24,7521;0,1361;-0,0027;0,5049
8,26;23,863;0,1468;-0,0025;0,5448
8,28;22,974;0,1399;-0,0024;0,5191
8,3;22,0849;0,1396;-0,0022;0,518
8,32;21,1958;0,1518;-0,0021;0,6537
8,34;20,9976;0,1613;-0,002;0,7673
8,36;21,5679;0,1624;-0,002;0,7603
8,38;22,4005;0,1566;-0,002;0,7041
8,4;23,185;0,1493;-0,0019;0,6477
8,42;24,0061;0,1515;-0,0019;0,6359
8,44;24,8572;0,1521;-0,0019;0,6166
8,46;25,5034;0,1749;-0,0018;0,69
